"","account_id","acct_creation_date","statement_frequency","account_district","num_customers","credit_cards","loan_date","loan_amount","loan_payment","loan_term","loan_status","loan_default","max_withdrawal","min_withdrawal","max_balance","min_balance","credit_bank_transfer_other_txn_ct","credit_bank_transfer_other_txn_tot","credit_bank_transfer_other_avg_txn","credit_cash_other_txn_ct","credit_cash_other_txn_tot","credit_cash_other_avg_txn","credit_other_interest_credit_txn_ct","credit_other_interest_credit_txn_tot","credit_other_interest_credit_avg_txn","debit_bank_transfer_household_payment_txn_ct","debit_bank_transfer_household_payment_txn_tot","debit_bank_transfer_household_payment_avg_txn","debit_cash_statement_charge_txn_ct","debit_cash_statement_charge_txn_tot","debit_cash_statement_charge_avg_txn","debit_cash_other_txn_ct","debit_cash_other_txn_tot","debit_cash_other_avg_txn","debit_bank_transfer_loan_payment_txn_ct","debit_bank_transfer_loan_payment_txn_tot","debit_bank_transfer_loan_payment_avg_txn","debit_bank_transfer_insurance_payment_txn_ct","debit_bank_transfer_insurance_payment_txn_tot","debit_bank_transfer_insurance_payment_avg_txn","debit_bank_transfer_other_txn_ct","debit_bank_transfer_other_txn_tot","debit_bank_transfer_other_avg_txn","credit_bank_transfer_pension_benefit_txn_ct","credit_bank_transfer_pension_benefit_txn_tot","credit_bank_transfer_pension_benefit_avg_txn","debit_credit_card_other_txn_ct","debit_credit_card_other_txn_tot","debit_credit_card_other_avg_txn","debit_cash_household_payment_txn_ct","debit_cash_household_payment_txn_tot","debit_cash_household_payment_avg_txn","debit_cash_negative_balance_charge_txn_ct","debit_cash_negative_balance_charge_txn_tot","debit_cash_negative_balance_charge_avg_txn","debit_cash_insurance_payment_txn_ct","debit_cash_insurance_payment_txn_tot","debit_cash_insurance_payment_avg_txn","pmt_order_ct","pmt_order_avg_amt","owner_client_id","gender","birth_date","owner_district"
"3891",7045,"1996-12-26","monthly","Trutnov",1,NA,"1997-06-16",288720,6015,48,"current",FALSE,32000,15,104827,400,24,938392,39099.6666666667,1,400,400,24,5653,235.541666666667,0,0,0,19,285,15,55,785313,14278.4181818182,18,108270,6015,0,0,0,0,0,0,0,0,0,1,3300,3300,0,0,0,0,0,0,0,0,0,1,6015.3,8502,"M","1943-04-19","Trutnov"
"3892",7049,"1997-10-12","monthly","Jesenik",1,NA,"1998-05-22",495180,8253,60,"current",FALSE,58700,15,126715,600,14,767543,54824.5,1,600,600,14,2647,189.071428571429,0,0,0,9,135,15,31,674012,21742.3225806452,7,57771,8253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8253.2,8506,"F","1979-12-25","Jesenik"
"3893",7082,"1996-09-06","monthly","Hodonin",1,NA,"1998-02-08",194160,4045,48,"current",FALSE,11000,15,48106,900,0,0,0,42,384752,9160.7619047619,27,2850,105.555555555556,23,146257,6359,22,330,15,39,140120,3592.82051282051,11,44495,4045,23,345,15,46,33718,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2377,8548,"F","1945-05-10","Hodonin"
"3894",7099,"1996-08-20","monthly","Hl.m. Praha",1,NA,"1998-06-10",234336,4882,48,"current",FALSE,35200,15,90491,1000,28,893495,31910.5357142857,3,6400,2133.33333333333,28,3716,132.714285714286,24,5664,236,23,345,15,62,549163,8857.46774193548,7,34181,4883,24,12672,528,24,282384,11766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4353.125,8568,"F","1971-12-03","Hl.m. Praha"
"3896",7133,"1993-09-17","monthly","Hl.m. Praha",2,NA,"1994-11-06",48672,1352,36,"expired",FALSE,5880,15,33815,300,0,0,0,97,376764,3884.16494845361,63,4648,73.7777777777778,59,158297,2683,58,870,15,77,144020,1870.38961038961,36,48672,1352,59,6785,115,118,5900,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,850,NA,"","",""
"3897",7156,"1997-09-11","monthly","Novy Jicin",1,NA,"1998-04-16",49488,2062,24,"current",FALSE,25200,15,82684,300,16,361305,22581.5625,8,36400,4550,16,3228,201.75,0,0,0,11,165,15,26,321816,12377.5384615385,8,16496,2062,0,0,0,0,0,0,0,0,0,2,2700,1350,0,0,0,0,0,0,0,0,0,1,2062,8636,"F","1941-11-12","Novy Jicin"
"3898",7176,"1996-12-07","monthly","Hl.m. Praha",1,NA,"1997-11-30",203940,3399,60,"current",FALSE,27680,15,72580,400,0,0,0,26,646300,24857.6923076923,24,4526,188.583333333333,20,122200,6110,19,285,15,47,426780,9080.42553191489,13,44187,3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4754.5,8661,"F","1954-05-11","Hl.m. Praha"
"3899",7184,"1995-06-19","monthly","Kolin",1,NA,"1996-08-04",155640,6485,24,"expired",FALSE,31200,15,73025,500,0,0,0,43,1046587,24339.2325581395,42,5565,132.5,38,130492,3434,37,555,15,72,604480,8395.55555555555,24,155640,6485,38,26258,691,76,81890,1077.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2553,8670,"F","1943-01-07","Kolin"
"3900",7190,"1993-09-06","monthly","Semily",2,NA,"1995-06-06",63360,1056,60,"current",FALSE,9600,15,48544,700,0,0,0,91,627302,6893.42857142857,63,7197,114.238095238095,59,318246,5394,58,870,15,87,247260,2842.06896551724,43,45408,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3225,8677,"M","1955-08-14","Semily"
"3903",7240,"1996-04-23","monthly","Pelhrimov",2,NA,"1998-01-15",152160,2536,60,"current",FALSE,13600,15,56535,500,32,532490,16640.3125,5,9000,1800,32,3338,104.3125,27,246672,9136,27,405,15,53,255880,4827.92452830189,11,27896,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5835.85,8737,"F","1948-04-11","Pelhrimov"
"3904",7262,"1996-08-30","monthly","Karvina",1,NA,"1997-02-10",73260,1221,60,"current",FALSE,20600,15,58295,900,0,0,0,33,529644,16049.8181818182,28,3860,137.857142857143,23,43700,1900,23,345,15,37,262400,7091.89189189189,23,28083,1221,0,0,0,23,158125,6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3332,8764,"F","1940-07-07","Karvina"
"3905",7274,"1997-09-28","monthly","Praha - zapad",1,NA,"1998-03-12",49044,4087,12,"current",FALSE,42600,15,105561,400,0,0,0,19,406598,21399.8947368421,15,2090,139.333333333333,11,50633,4603,11,165,15,21,286987,13666.0476190476,10,40870,4087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4344.9,8777,"F","1953-04-11","Praha - zapad"
"3906",7401,"1993-02-26","monthly","Hl.m. Praha",2,NA,"1994-01-05",80952,3373,24,"expired",FALSE,42000,15,69178,1100,70,1537936,21970.5142857143,12,48400,4033.33333333333,70,10358,147.971428571429,65,472290,7266,65,975,15,172,1006742,5853.1511627907,24,80952,3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5319.35,9173,"M","1945-02-04","Hl.m. Praha"
"3907",7418,"1995-04-07","monthly","Tabor",1,NA,"1996-04-29",30276,2523,12,"expired",TRUE,18500,0,58621,-12205,45,741807,16484.6,17,45800,2694.11764705882,132,8253,62.5227272727273,0,0,0,40,600,15,63,278494,4420.53968253968,8,20184,2523,0,0,0,0,0,0,0,0,0,0,0,0,32,479200,14975,40,598,14.95,0,0,0,1,2523.2,9196,"F","1939-04-23","Tabor"
"3908",7424,"1996-07-28","monthly","Frydek - Mistek",1,NA,"1997-12-08",30276,2523,12,"expired",FALSE,63300,15,130362,900,0,0,0,54,1488172,27558.7407407407,28,5735,204.821428571429,27,184059,6817,26,390,15,73,1218758,16695.3150684931,12,30276,2523,27,4428,164,27,29970,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2653.55,9202,"M","1962-02-09","Frydek - Mistek"
"3909",7445,"1993-03-18","monthly","Zlin",1,NA,"1994-03-15",55368,2307,24,"expired",FALSE,63600,3,157941,134,0,0,0,104,2385555,22938.0288461538,134,16607,123.932835820896,0,0,0,65,975,15,203,2329261,11474.1921182266,24,55368,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,11.1111111111111,0,0,0,1,2306.8,9226,"F","1939-12-25","Zlin"
"3911",7454,"1993-04-19","monthly","Kladno",1,NA,"1994-05-26",63312,1319,48,"expired",FALSE,4600,15,31463,500,0,0,0,86,353384,4109.11627906977,68,4812,70.7647058823529,63,145278,2306,63,945,15,57,101120,1774.0350877193,48,63312,1319,0,0,0,64,30144,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1365.33333333333,NA,"","",""
"3912",7485,"1993-07-28","monthly","Most",2,NA,"1994-03-16",91200,3800,24,"expired",FALSE,34800,15,76737,700,65,1607324,24728.0615384615,13,40400,3107.69230769231,65,9282,142.8,60,616740,10279,60,900,15,128,900871,7038.0546875,24,91200,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7039.4,9273,"F","1955-08-26","Most"
"3915",7523,"1994-08-29","monthly","Vyskov",1,NA,"1995-01-03",288468,8013,36,"expired",FALSE,23300,15,71939,600,0,0,0,57,1174969,20613.4912280702,104,11478,110.365384615385,0,0,0,47,705,15,94,518280,5513.6170212766,36,288468,8013,0,0,0,0,0,0,0,0,0,0,0,0,48,345500,7197.91666666667,0,0,0,0,0,0,1,8013,9316,"F","1958-10-26","Vyskov"
"3916",7542,"1996-05-16","monthly","Brno - mesto",1,NA,"1997-10-19",590820,9847,60,"current",FALSE,11400,15,66094,300,0,0,0,58,574709,9908.77586206897,31,5006,161.483870967742,26,95758,3683,26,390,15,39,192880,4945.64102564103,14,137858,9847,0,0,0,26,88114,3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5639.66666666667,9340,"M","1967-08-22","Brno - mesto"
"3917",7546,"1994-09-03","monthly","Hradec Kralove",1,NA,"1995-11-02",41952,3496,12,"expired",FALSE,29700,15,71527,500,52,1185083,22790.0576923077,3,4500,1500,52,6856,131.846153846154,48,185328,3861,47,705,15,121,939504,7764.4958677686,12,41952,3496,48,2352,49,48,9504,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1900.95,9346,"M","1972-12-10","Hradec Kralove"
"3918",7559,"1997-05-24","monthly","Breclav",1,NA,"1998-07-11",12792,1066,12,"current",FALSE,4112,15,53927,900,0,0,0,31,165851,5350.03225806452,19,2643,139.105263157895,14,57568,4112,14,210,15,30,53400,1780,6,6396,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2589,9362,"F","1973-07-19","Breclav"
"3919",7565,"1996-04-02","monthly","Kromeriz",1,NA,"1997-08-17",153504,3198,48,"current",FALSE,26500,15,65102,300,33,690729,20931.1818181818,2,2000,1000,33,4303,130.393939393939,29,192821,6649,28,420,15,55,422473,7681.32727272727,16,51168,3198,0,0,0,28,6384,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3358.26666666667,9370,"M","1975-12-20","Kromeriz"
"3920",7594,"1996-02-16","monthly","Jindrichuv Hradec",1,NA,"1997-12-11",130464,2718,48,"current",FALSE,58700,15,132088,1000,0,0,0,54,1230426,22785.6666666667,32,6676,208.625,29,66758,2302,28,420,15,80,993038,12412.975,13,35334,2718,29,39063,1347,58,68875,1187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1748.4,9403,"M","1974-03-22","Jindrichuv Hradec"
"3921",7606,"1995-03-15","monthly","Tabor",1,NA,"1995-12-12",191880,3198,60,"current",FALSE,63300,15,132635,400,0,0,0,89,2055566,23096.2471910112,46,9451,205.45652173913,44,187792,4268,44,660,15,98,1465102,14950.0204081633,37,118326,3198,0,0,0,44,257664,5856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4440.6,9417,"M","1949-03-08","Tabor"
"3922",7607,"1993-09-05","monthly","Hl.m. Praha",2,NA,"1995-03-27",31728,1322,24,"expired",FALSE,28480,15,59168,600,0,0,0,73,1064433,14581.2739726027,64,9728,152,59,355180,6020,59,885,15,154,633160,4111.42857142857,24,31728,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3671,9418,"M","1950-04-10","Hl.m. Praha"
"3923",7614,"1995-02-08","monthly","Uherske Hradiste",2,NA,"1996-05-18",320592,6679,48,"current",FALSE,50800,15,127567,500,46,2003600,43556.5217391304,1,500,500,46,12060,262.173913043478,0,0,0,41,615,15,109,1726725,15841.5137614679,31,207049,6679,0,0,0,0,0,0,0,0,0,9,25600,2844.44444444444,0,0,0,0,0,0,0,0,0,1,6678.7,9427,"F","1970-11-09","Uherske Hradiste"
"3924",7632,"1996-09-22","monthly","Frydek - Mistek",2,NA,"1998-01-08",170448,3551,48,"current",FALSE,22900,15,73025,1000,0,0,0,29,658825,22718.1034482759,27,4936,182.814814814815,22,211838,9629,22,330,15,49,353240,7208.97959183673,12,42612,3551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6590,9450,"F","1943-10-11","Frydek - Mistek"
"3925",7636,"1996-10-08","monthly","Teplice",1,NA,"1998-01-26",42384,3532,12,"current",FALSE,60300,15,123072,700,0,0,0,41,692212,16883.2195121951,27,4281,158.555555555556,24,73848,3077,24,360,15,54,545406,10100.1111111111,11,38852,3532,0,0,0,24,7800,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2311.33333333333,9456,"F","1941-12-07","Teplice"
"3926",7637,"1996-08-19","monthly","Nachod",2,NA,"1997-01-29",390096,8127,48,"current",FALSE,36160,15,90452,900,0,0,0,34,761027,22383.1470588235,28,5352,191.142857142857,23,216131,9397,23,345,15,37,276440,7471.35135135135,23,186921,8127,0,0,0,0,0,0,0,0,0,3,6100,2033.33333333333,0,0,0,0,0,0,0,0,0,2,8762,9457,"M","1978-09-26","Nachod"
"3927",7674,"1996-07-21","monthly","Hl.m. Praha",1,NA,"1997-03-21",94488,3937,24,"current",FALSE,61400,15,131825,800,0,0,0,58,1408834,24290.2413793103,30,6867,228.9,27,39879,1477,27,405,15,68,1068114,15707.5588235294,21,82677,3937,0,0,0,27,199341,7383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4265.76666666667,9505,"M","1958-08-21","Hl.m. Praha"
"3928",7721,"1997-07-03","monthly","Rakovnik",1,NA,"1998-05-28",45456,3788,12,"current",FALSE,29400,15,80996,1000,18,443235,24624.1666666667,2,13900,6950,18,3416,189.777777777778,0,0,0,13,195,15,39,368915,9459.35897435897,7,26516,3788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3788.3,9555,"F","1947-05-15","Rakovnik"
"3929",7745,"1996-11-29","monthly","Benesov",1,NA,"1997-12-20",77544,2154,36,"current",FALSE,46200,15,129844,700,0,0,0,41,1038522,25329.8048780488,24,3900,162.5,20,203200,10160,20,300,15,52,762469,14662.8653846154,12,25848,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6156.9,9582,"F","1942-04-14","Benesov"
"3930",7753,"1993-02-08","monthly","Ostrava - mesto",1,NA,"1994-03-11",51696,2154,24,"expired",FALSE,63900,15,159122,600,0,0,0,127,3188567,25106.8267716535,71,14798,208.422535211268,0,0,0,68,1020,15,182,3021523,16601.7747252747,25,53850,2154,0,0,0,0,0,0,0,0,0,27,66900,2477.77777777778,0,0,0,0,0,0,0,0,0,1,2153.8,9593,"F","1968-01-28","Ostrava - mesto"
"3931",7769,"1993-10-03","monthly","Cheb",1,NA,"1994-05-22",196080,4085,48,"expired",FALSE,63300,15,149947,900,0,0,0,114,2688943,23587.2192982456,63,15347,243.603174603175,0,0,0,60,900,15,150,2463404,16422.6933333333,48,196080,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4085,9611,"M","1958-05-27","Cheb"
"3932",7795,"1995-01-05","monthly","Zlin",2,NA,"1996-10-29",372120,6202,60,"current",FALSE,63700,15,145882,500,0,0,0,94,2522765,26837.9255319149,48,12463,259.645833333333,0,0,0,46,690,15,141,2300121,16312.914893617,26,161252,6202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6202,9641,"M","1945-01-26","Zlin"
"3933",7819,"1993-08-01","monthly","Louny",1,NA,"1995-02-02",20832,434,48,"current",FALSE,19700,15,41998,500,0,0,0,83,655597,7898.75903614458,65,5825,89.6153846153846,60,117180,1953,60,900,15,96,273900,2853.125,47,20398,434,60,77760,1296,120,147240,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1227.4,9670,"M","1948-05-04","Louny"
"3934",7824,"1994-05-17","monthly","Prostejov",1,NA,"1994-09-28",189696,7904,24,"expired",TRUE,66600,7,124557,-2631,0,0,0,67,1711016,25537.552238806,45,6217,138.155555555556,39,84084,2156,41,615,15,91,1455766,15997.4285714286,11,86944,7904,0,0,0,40,61000,1525,0,0,0,0,0,0,0,0,0,5,62,12.4,0,0,0,3,3861.6,9675,"F","1970-02-19","Prostejov"
"3936",7844,"1993-11-26","monthly","Hl.m. Praha",1,NA,"1994-06-25",91584,3816,24,"expired",FALSE,39300,15,98935,1000,61,2123816,34816.6557377049,3,3600,1200,61,11170,183.114754098361,0,0,0,56,840,15,161,1977582,12283.1180124224,24,91584,3816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3816,NA,"","",""
"3937",7857,"1993-08-04","monthly","Prerov",1,NA,"1995-01-18",68112,5676,12,"expired",FALSE,42100,15,119871,300,65,2686690,41333.6923076923,4,12500,3125,65,13985,215.153846153846,60,489420,8157,60,900,15,191,2003716,10490.6596858639,12,68112,5676,61,8357,137,61,63562,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3753,NA,"","",""
"3938",7859,"1995-03-14","monthly","Usti nad Orlici",2,NA,"1996-11-19",72120,6010,12,"expired",FALSE,60000,15,146958,1000,45,1766993,39266.5111111111,2,10100,5050,45,15085,335.222222222222,0,0,0,40,600,15,107,1554625,14529.2056074766,12,72120,6010,0,0,0,0,0,0,0,0,0,9,40300,4477.77777777778,0,0,0,0,0,0,0,0,0,1,6010.2,9717,"F","1952-11-10","Usti nad Orlici"
"3939",7861,"1995-04-22","monthly","Chomutov",1,NA,"1995-10-08",21852,607,36,"expired",FALSE,27680,15,91429,700,0,0,0,50,898572,17971.44,44,10666,242.409090909091,39,327600,8400,39,585,15,59,374720,6351.18644067797,36,21852,607,39,1014,26,78,20709,265.5,0,0,0,30,72400,2413.33333333333,0,0,0,0,0,0,0,0,0,5,1912.8,9721,"M","1954-12-05","Chomutov"
"3940",7890,"1996-03-26","monthly","Cheb",1,NA,"1997-10-14",79344,1653,48,"current",FALSE,25900,15,59170,300,0,0,0,57,329555,5781.66666666667,33,3955,119.848484848485,29,124816,4304,28,420,15,43,127700,2969.76744186047,14,23142,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2978.5,9755,"F","1951-06-05","Cheb"
"3941",7894,"1996-04-09","monthly","Plzen - jih",1,NA,"1997-10-21",153144,4254,36,"current",FALSE,53000,15,133012,300,0,0,0,59,1460056,24746.7118644068,33,7041,213.363636363636,32,152960,4780,31,465,15,75,1099768,14663.5733333333,14,59556,4254,0,0,0,32,86560,2705,0,0,0,10,23200,2320,0,0,0,0,0,0,0,0,0,3,3912.9,9760,"M","1969-02-17","Plzen - jih"
"3942",7907,"1996-07-27","monthly","Karvina",2,NA,"1997-08-31",97392,8116,12,"expired",FALSE,63800,15,145666,200,0,0,0,49,1059102,21614.3265306122,30,5851,195.033333333333,26,164502,6327,26,390,15,60,743850,12397.5,12,97392,8116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7221.6,9775,"M","1960-06-23","Karvina"
"3944",7957,"1995-09-07","monthly","Trutnov",2,NA,"1997-06-14",42900,3575,12,"expired",FALSE,64400,15,155066,500,0,0,0,79,1856595,23501.2025316456,40,7940,198.5,36,221904,6164,36,540,15,102,1299944,12744.5490196078,12,42900,3575,0,0,0,36,217980,6055,0,0,0,5,12900,2580,0,0,0,0,0,0,0,0,0,3,5264.66666666667,9833,"M","1964-09-21","Trutnov"
"3945",7965,"1993-11-08","monthly","Brno - venkov",2,NA,"1994-09-30",71460,5955,12,"expired",FALSE,52400,15,116015,200,0,0,0,94,1697549,18059.0319148936,60,9361,156.016666666667,55,399740,7268,55,825,15,130,1173377,9025.97692307692,12,71460,5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6611.5,9844,"M","1945-08-03","Brno - venkov"
"3946",7966,"1996-12-27","monthly","Brno - mesto",1,NA,"1997-09-07",473280,7888,60,"current",TRUE,55900,1,131641,-1155,0,0,0,35,708929,20255.1142857143,46,6032,131.130434782609,0,0,0,20,300,15,52,584513,11240.6346153846,13,102544,7888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,7887.7,9846,"F","1967-07-01","Brno - mesto"
"3947",7990,"1996-08-30","monthly","Nymburk",1,NA,"1998-04-23",144960,3020,48,"current",FALSE,58100,15,144854,700,0,0,0,57,1462039,25649.8070175439,28,7298,260.642857142857,25,178950,7158,25,375,15,71,1205928,16984.9014084507,8,24160,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5089,9872,"F","1967-03-17","Nymburk"
"3948",7997,"1996-04-25","monthly","Praha - vychod",1,NA,"1998-02-05",160656,6694,24,"current",FALSE,66000,15,173151,400,0,0,0,56,1408749,25156.2321428571,32,6575,205.46875,0,0,0,29,435,15,97,1302434,13427.1546391753,11,73634,6694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6694.2,9880,"F","1970-12-10","Praha - vychod"
"3949",8026,"1997-03-23","monthly","Liberec",1,NA,"1997-09-09",128268,3563,36,"current",FALSE,32500,15,108266,700,0,0,0,23,551487,23977.6956521739,21,4905,233.571428571429,0,0,0,16,240,15,27,415240,15379.2592592593,16,57008,3563,0,0,0,0,0,0,0,0,0,5,11400,2280,0,0,0,0,0,0,0,0,0,1,3563,9914,"M","1942-12-08","Liberec"
"3950",8038,"1996-08-17","monthly","Pardubice",1,NA,"1998-01-18",35856,1494,24,"current",FALSE,24700,15,81470,600,0,0,0,30,676488,22549.6,28,6650,237.5,23,119945,5215,23,345,15,52,465140,8945,11,16434,1494,0,0,0,0,0,0,0,0,0,1,4000,4000,0,0,0,0,0,0,0,0,0,2,3354.5,9929,"F","1967-07-19","Pardubice"
"3951",8039,"1995-12-17","monthly","Nymburk",1,NA,"1996-10-20",93600,3900,24,"expired",FALSE,44300,15,118295,900,0,0,0,47,975914,20764.1276595745,37,7363,199,31,33294,1074,30,450,15,57,672014,11789.7192982456,24,93624,3901,31,100161,3231,31,18910,610,0,0,0,1,100,100,0,0,0,0,0,0,0,0,0,4,2203.875,9930,"M","1972-06-23","Nymburk"
"3952",8041,"1993-10-10","monthly","Hl.m. Praha",1,NA,"1994-11-06",140400,3900,36,"expired",FALSE,63200,15,155918,173,0,0,0,117,2836101,24240.1794871795,63,15463,245.444444444444,0,0,0,54,810,15,166,2591046,15608.7108433735,36,140436,3901,0,0,0,0,0,0,0,0,0,6,17500,2916.66666666667,0,0,0,0,0,0,0,0,0,1,3900.5,NA,"","",""
"3953",8085,"1996-04-08","monthly","Opava",1,NA,"1997-10-17",260400,4340,60,"current",TRUE,51500,3,111671,-437,0,0,0,43,1077603,25060.5348837209,33,3981,120.636363636364,30,27480,916,29,435,15,58,658746,11357.6896551724,11,47740,4340,0,0,0,27,296055,10965,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,3,5407,9987,"F","1950-06-19","Opava"
"3954",8092,"1995-01-11","monthly","Brno - mesto",1,NA,"1996-02-20",56100,935,60,"current",FALSE,21500,15,46307,1000,0,0,0,52,486524,9356.23076923077,47,3864,82.2127659574468,43,267288,6216,42,630,15,51,176880,3468.23529411765,34,31790,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3575.5,9995,"M","1958-07-07","Brno - mesto"
"3955",8094,"1996-11-24","monthly","Bruntal",1,NA,"1997-05-09",220428,6123,36,"current",FALSE,63400,15,114748,600,25,1265220,50608.8,1,600,600,25,4905,196.2,21,118965,5665,20,300,15,49,999408,20396.0816326531,20,122460,6123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5894,9997,"M","1962-06-07","Bruntal"
"3956",8114,"1995-10-14","monthly","Kromeriz",1,NA,"1997-08-15",99300,1655,60,"current",FALSE,21500,15,60869,600,0,0,0,40,777343,19433.575,38,5242,137.947368421053,34,202572,5958,33,495,15,68,488500,7183.82352941176,16,26480,1655,0,0,0,34,16796,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2702.33333333333,10023,"F","1973-03-20","Kromeriz"
"3957",8127,"1994-10-13","monthly","Litomerice",2,NA,"1996-07-15",155880,6495,24,"expired",FALSE,63900,15,164649,1000,0,0,0,100,2439669,24396.69,48,12571,261.895833333333,45,373725,8305,45,675,15,129,1813963,14061.7286821705,24,155880,6495,0,0,0,0,0,0,0,0,0,1,1900,1900,0,0,0,0,0,0,0,0,0,2,7399.9,10040,"F","1968-10-30","Litomerice"
"3958",8129,"1993-06-26","monthly","Jicin",1,NA,"1994-07-30",74736,2076,36,"expired",FALSE,24700,15,67577,700,0,0,0,67,1474458,22006.8358208955,66,11249,170.439393939394,61,377224,6184,61,915,15,114,963000,8447.36842105263,36,74736,2076,0,0,0,0,0,0,0,0,0,8,11400,1425,0,0,0,0,0,0,0,0,0,2,4130,10043,"M","1965-10-29","Jicin"
"3960",8159,"1995-02-08","monthly","Plzen - mesto",2,NA,"1995-06-13",29784,1241,24,"expired",FALSE,12100,15,71406,200,0,0,0,52,586000,11269.2307692308,46,7203,156.586956521739,42,127428,3034,41,615,15,84,311340,3706.42857142857,24,29784,1241,0,0,0,42,65184,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1942.33333333333,10076,"F","1969-12-25","Plzen - mesto"
"3961",8169,"1995-11-28","monthly","Rokycany",1,NA,"1997-08-12",97980,1633,60,"current",FALSE,12700,15,46399,700,0,0,0,44,461286,10483.7727272727,37,3333,90.0810810810811,32,68736,2148,32,480,15,65,222920,3429.53846153846,17,27761,1633,0,0,0,32,114400,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2452,10090,"F","1980-03-14","Rokycany"
"3962",8173,"1993-07-05","monthly","Praha - zapad",2,NA,"1994-05-20",80340,6695,12,"expired",FALSE,53700,15,122524,1100,65,2879220,44295.6923076923,3,15300,5100,65,14671,225.707692307692,0,0,0,60,900,15,205,2724340,13289.4634146341,12,80340,6695,0,0,0,0,0,0,0,0,0,13,32800,2523.07692307692,0,0,0,0,0,0,0,0,0,1,6695,NA,"","",""
"3963",8225,"1996-12-07","monthly","Svitavy",1,NA,"1998-03-30",36204,3017,12,"current",TRUE,23289,2,56084,-215,25,497830,19913.2,4,6300,1575,75,8175,109,0,0,0,20,300,15,55,450253,8186.41818181818,8,24136,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,5.33333333333333,0,0,0,1,3017.2,10159,"M","1938-01-06","Svitavy"
